"","date","Open","High","Low","Close","Adj_Close"
"2937",2000-03-10,60000,61900,58000,59500,57617
"2938",2000-03-13,61500,64900,57600,59000,57133
"2939",2000-03-14,59000,60500,57500,59400,57520
"2940",2000-03-15,57200,58000,56100,56400,54615
"2941",2000-03-16,56100,58200,55200,56400,54615
"2942",2000-03-17,56400,56900,52400,52500,50839
"2943",2000-03-20,51000,58800,48900,58800,56939
"2944",2000-03-21,51800,54300,51800,51800,50161
"2945",2000-03-22,52800,54800,51800,52400,50742
"2946",2000-03-23,53000,53300,50500,50800,49192
"2947",2000-03-24,51100,51900,49100,50400,48805
"2948",2000-03-27,50400,51700,50000,50800,49192
"2949",2000-03-28,50800,51400,49700,50200,48611
"2950",2000-03-29,49500,49700,46500,49000,47449
"2951",2000-03-30,47500,49500,45800,48800,47256
"2952",2000-03-31,47000,49400,45500,49000,47449
"2953",2000-04-03,47000,48500,44000,44100,42704
"2954",2000-04-04,42000,42000,39000,40500,39218
"2955",2000-04-06,40000,41500,39000,40100,38831
"2956",2000-04-07,40500,43900,40500,42550,41203
"2957",2000-04-10,43600,45800,43500,45500,44060
"2958",2000-04-11,43000,43000,40600,40800,39509
"2959",2000-04-12,40900,42700,40100,41700,40380
"2960",2000-04-14,39100,40800,38200,39600,38347
"2961",2000-04-17,34850,35800,34850,34850,33747
"2962",2000-04-18,36300,36800,31000,33600,32537
"2963",2000-04-19,34600,35900,34000,35100,33989
"2964",2000-04-20,35200,38000,35100,37900,36701
"2965",2000-04-21,38000,40400,37350,39000,37766
"2966",2000-04-24,39300,39500,37000,38000,36797
"2967",2000-04-25,37000,38600,36600,38000,36797
"2968",2000-04-26,39000,39700,36700,37400,36216
"2969",2000-04-27,36600,37100,34700,35000,33892
"2970",2000-04-28,35200,36200,34600,35800,34667
"2971",2000-05-02,36100,37750,36100,37300,36120
"2972",2000-05-03,36300,39500,36200,39200,37959
"2973",2000-05-04,39400,40900,38500,39000,37766
"2974",2000-05-08,39000,40200,39000,39500,38250
"2975",2000-05-09,39000,39000,37800,38500,37282
"2976",2000-05-10,38500,38800,37700,38000,36797
"2977",2000-05-12,38000,38500,37800,38500,37282
"2978",2000-05-15,38000,39950,37500,38100,36894
"2979",2000-05-16,38500,39000,37200,39000,37766
"2980",2000-05-17,40700,40700,38000,39300,38056
"2981",2000-05-18,38500,39300,37000,38550,37330
"2982",2000-05-19,37000,40200,37000,40000,38734
"2983",2000-05-22,39000,39700,35700,39000,37766
"2984",2000-05-23,38000,39000,36100,37800,36604
"2985",2000-05-24,37000,37000,34600,36350,35200
"2986",2000-05-25,37100,39600,36600,38000,36797
"2987",2000-05-26,38000,38100,34500,34500,33408
"2988",2000-05-29,33000,35000,32900,34600,33505
"2989",2000-05-30,35100,37400,34600,36400,35248
"2990",2000-05-31,37000,40750,37000,40750,39460
"2991",2000-06-01,39750,41500,38600,40500,39218
"2992",2000-06-02,42000,42600,39150,40500,39218
"2993",2000-06-05,42000,44000,41050,43450,42075
"2994",2000-06-07,42500,43900,42100,43000,41639
"2995",2000-06-08,43000,43400,39850,39900,38637
"2996",2000-06-09,39900,39900,38400,39000,37766
"2997",2000-06-12,38850,40550,38500,40550,39267
"2998",2000-06-13,40000,40150,38000,38750,37524
"2999",2000-06-14,39000,41500,38000,39800,38541
"3000",2000-06-15,39100,40000,37000,37000,35829
"3001",2000-06-16,36500,37700,36200,36900,35732
"3002",2000-06-19,37000,38900,37000,38100,36894
"3003",2000-06-20,37700,38900,37500,37500,36313
"3004",2000-06-21,38600,39850,37700,39000,37766
"3005",2000-06-22,39000,39600,38200,38800,37572
"3006",2000-06-23,38400,38400,37400,37800,36604
"3007",2000-06-26,37700,38500,37700,38500,37282
"3008",2000-06-27,39500,43000,38000,41000,39703
"3009",2000-06-28,41500,44800,40500,42500,41155
"3010",2000-06-29,42950,43000,40450,41400,40090
"3011",2000-06-30,40600,42400,40100,41200,39896
"3012",2000-07-03,41900,46100,41600,45300,43866
"3013",2000-07-04,45300,45300,43500,44900,43479
"3014",2000-07-05,46500,47400,42500,45200,43770
"3015",2000-07-06,43800,45200,43800,44700,43285
"3016",2000-07-07,45400,45950,43900,44400,42995
"3017",2000-07-10,44500,45200,43750,44500,43092
"3018",2000-07-11,45200,48500,44100,45300,43866
"3019",2000-07-12,46000,46300,44500,46200,44738
"3020",2000-07-13,45100,46900,45100,46600,45125
"3021",2000-07-14,45800,46650,45800,46600,45125
"3022",2000-07-18,46900,48300,46200,47000,45513
"3023",2000-07-19,46500,46600,43600,44300,42898
"3024",2000-07-20,42300,44000,41100,44000,42608
"3025",2000-07-21,42300,44200,42300,43600,42220
"3026",2000-07-24,42500,43300,41500,41700,40380
"3027",2000-07-25,41000,42450,40300,42450,41107
"3028",2000-07-26,41200,42500,41200,42500,41155
"3029",2000-07-27,41500,42500,41500,42500,41155
"3030",2000-07-28,41900,42000,40500,42000,40671
"3031",2000-07-31,41000,41800,40450,41400,40090
"3032",2000-08-01,41400,43500,41400,43000,41639
"3033",2000-08-02,43000,45500,42500,44450,43043
"3034",2000-08-03,43900,44900,43400,44450,43043
"3035",2000-08-04,44000,44800,42550,42850,41494
"3036",2000-08-07,42900,42900,41500,42100,40768
"3037",2000-08-08,41750,42500,41100,41300,39993
"3038",2000-08-09,41050,42800,40900,42000,40671
"3039",2000-08-10,41600,44100,41300,42100,40768
"3040",2000-08-11,42100,42250,41400,42200,40865
"3041",2000-08-14,42300,42800,42200,42250,40913
"3042",2000-08-16,41500,43450,41500,43450,42075
"3043",2000-08-17,43500,43500,42550,43000,41639
"3044",2000-08-18,42500,43200,41800,42500,41155
"3045",2000-08-21,42300,42900,41600,42650,41300
"3046",2000-08-22,43000,43100,42300,42900,41542
"3047",2000-08-23,43000,44200,42450,43100,41736
"3048",2000-08-24,43900,43950,42600,43050,41688
"3049",2000-08-25,43000,43300,42300,43300,41930
"3050",2000-08-28,43600,45400,43300,44700,43285
"3051",2000-08-29,44500,45100,43800,44800,43382
"3052",2000-08-30,45000,47200,44600,45200,43770
"3053",2000-08-31,45200,45300,42700,43450,42075
"3054",2000-09-01,43600,44200,43100,43750,42366
"3055",2000-09-04,43300,44900,43300,44600,43189
"3056",2000-09-05,44050,46300,44050,46200,44738
"3057",2000-09-06,46000,47500,45550,46400,44932
"3058",2000-09-07,45900,46100,45000,45800,44351
"3059",2000-09-08,45800,45800,44350,45800,44351
"3060",2000-09-14,44650,45200,44450,45200,43770
"3061",2000-09-15,44650,45600,43000,43800,42414
"3062",2000-09-18,42500,42500,39000,40200,38928
"3063",2000-09-19,38500,40150,38500,39950,38686
"3064",2000-09-20,40000,41400,40000,41100,39799
"3065",2000-09-21,41000,41000,39600,39900,38637
"3066",2000-09-22,39100,39950,35300,39950,38686
"3067",2000-09-25,38500,40800,38000,39500,38250
"3068",2000-09-26,39500,39900,38600,39450,38202
"3069",2000-09-27,38850,41000,38800,39950,38686
"3070",2000-09-28,39950,40200,39000,39300,38056
